[WBWWBBWB|BBBWWWBB|BBWBBWBW|WWWBWBB |BBWBWBWW|WWBW WBW|WWBWBWWB|WBBBW WB,(7,6)],0.0
[W WW B  |B BW B W| B      | W WBBWW|  B B BB| B  WW  |B  WB   |WB WW   ,(6,0)],0.9453925
[   W   B|  BW  BW|   B    |W    B  |B     BB| W      | W   WW |        ,(3,5)],0.18356815
[WWWBWWWB|WBWWWBW |BWWBWBBB|WBBB BW |W WWBW W| BB BWBB|BWWW BWB|BBWW BBB,(0,5)],0.996745
[  B B   |B B     |W       |BB   W  |W  B    |WB  W W |  WWWB  |W       ,(2,0)],0.08801809
[BBB  B  |W BW  BB|W   W BB|W  W WW | WBW BB |W WBWWW | WBB BWB| WB WBWB,(6,3)],0.9926349
[BWBWBWBB|BWW WWWB|W BW BBW|B  WBBWW|BB BWWBB|BWWWBWWW|WBBBWBBB|BBWWWBWW,(5,0)],0.99700004
[  W  BB |   BB   |  WW  W |      W |     W  |  BWB WB|   WB W |   B    ,(6,3)],0.023896575
[WWWBWWBB| BBWWB W|BWB WBWB| BBB  BW|B   W BB|B WWWB W| WBW BW | BWW WBW,(5,2)],0.996445
[B  B   W| W      |       W|BBB   WW| B   W  | WW  B  | B B B B| W W W  ,(3,2)],0.7921425
[        | WW W B |      B | B      |     W  |        |        |     B  ,(3,1)],0.35105878
[B B     | W      |     BWW|        |        |        |        |        ,(0,2)],0.0453512
[   B   B|        |W       |        |      W |        |     W  |        ,(4,6)],-0.0014606251
[ W  B B | WW    B|WB  WB  | B  BWB | WBW   W|B      B|  WW   W|WW  B B ,(7,0)],0.27694
[WBWWBBWW|BWB B BB|WW WBBWB|WBWBWWBB|WBB BBWW|BW WWWBB|WBBWW WB|WBBBWWBW,(4,2)],0.9969899
[BBW  WB |W  W W  | BB   BW|WWB B BW| BW BB W|B W  WW |   W    | BW  B B,(0,0)],0.92654485
[ BW   W |WB   WB | B   BWB| WW WBWB|   BW W |W  B  B |W   BBW |  B BW  ,(3,5)],0.7814983
[BWWBWB  | B WW B | W BBWWB|BW BWB  |B    BWW|B    WBW|   B WW |  W BWB ,(2,4)],0.94273996
[BWWBWBWB|WBB   W |BBWWB BB| BWW WBW|W WBWBWB|WWBWW WB|B BBB BW|WWBB W  ,(0,0)],0.996535
[B W     | B     W| B WW W |BW   BWW| BB     |      BW|  W B BW| BW W B ,(2,6)],0.6922712
[BBW W   |      WB|        | W BWB  |B BW    |       W|    W   |W WBB   ,(4,3)],0.11757241
[W WBBWB |BWBBWWBB|BWBWBBWW|WWBB  WW|BBWWW WB|W WBBWBB|WWBBBWWW|BWBBWWB ,(6,1)],0.9968599
[  W  B  |   B   B|  B  WB |BW      |B  WWW W|BB  BWBB|  W  WBW| WWW    ,(5,5)],0.9253375
[ BW B BW|   B WBW|WW  W  B|WB B WW |BWWWB W |B   BWWB|WBBW   B|BW BBWBW,(1,7)],0.996115
[BW  B   |W  BWBWW|    W  B| B  W WB| B      |        |BW  BW  |        ,(2,7)],0.54951257
[ B W    |  WB BWW|B     W | W  B   |B W W BW| WB  BW |  W  W  |B    BBB,(1,5)],0.77722234
[BW BW  B|W BBWWB | WB BW W|BW  B W |WBBB  WB|BW   W B|WWBWBWB |WW    WB,(4,0)],0.97029
[BB WBW  |  WW  W |BB WBW B| BBB W  |WB W B W|BWW B   |W BW    | WB  B W,(4,1)],0.93094236
[WW WWWBW|  WB    |B W W BB| B      | BBB WW |   WBB  |    B  B|B W  WWB,(2,0)],0.7680849
[WW WB B | BB  B B|BWWBWBBW|WB W   W|W WWB  W|  W WWBB|BWB W WB|BWB WBB ,(4,3)],0.85863906
[W W  B  |WB BW   |   BB   |WBBBW   |        |   W W  |B WBW  W|BB   W  ,(6,0)],0.9866301
[      B |   B    | BW B   | BBW   W|    BW  |      WW|  W  B W|        ,(2,4)],0.6479724
[ WWBWBWW| BBWB BW|W W   BB|W WB W B| BWW BWB|BWBB BB |BB BW WB|W  WWW W,(7,3)],0.99587
[BW   W B|WB    BW| B W   B|WBBW    |  B   B | WW    W|WB   WWB|B  W B  ,(6,7)],0.32003582
[B WWB WB|WBB  W  |WWB  BW |WBWW BWW| BBBWW B| B W  WB|B B BB W|WBW WB W,(2,1)],0.9964101
[WW BBBWW| WB  B W|BW     B|W    W  |BW  WBWB|W W BBB |  WB WWB|W WBB B ,(6,6)],0.9960349
[    W   | B    WB| W     W|  BW B  |      B |       W|        |B W   B ,(7,0)],0.06857625
[BWBBWBBB|WWW WWBB|BBWBBWBB|WBWB WWW|BWBW BB |BW  BWBW|WWBBBWWW|WBWBBWWW,(0,5)],0.99706507
[W W   B |   B  W | WBB   B| B      |W   B   |WWB   W |WBB W  W|B  W    ,(7,3)],0.7116848
[        |      W |        |       B|   W    |      B |   W  B |  W     ,(1,6)],0.10465251
[BWWBB WB|WBWWBW B| WBBB WB|BBBWWBW |BWW  BBB|WBWBBWWW|W BWWWBB|BW W BWW,(3,5)],0.996515
[BWBBBWB |WBBWWBWW|WWWB B B|B BW  WB|BWW BBWB|WBWW WWW|WBW WBB |WBB B W ,(4,2)],0.99656993
[ W   WWB|WB WBB W|W WW BB |BWBW  BW|B B     |WBBW   B|    W BB|W   BWWB,(5,2)],0.9950649
[B W B WB|WB BW W |B WBWWB |  WWBB W| W   WBW|   BB  B|WBW W   | BB   BW,(0,4)],0.9060424
[BBWWBWBB| WBWW BW|BBW B BW| BWBB W | B   WWW|BWW BW B| WBWBB W|WW  B  W,(0,5)],0.9964749
[B B WWBB|WBBBWBWW|WWWB B B|WBWWBBWW| B B WB |BWWB  W |W WWBWBW|B  WB B ,(6,6)],0.99579
[        |        | BW     |      B |     B  | W   BWW|     W  |        ,(6,5)],0.15677753
[        | W      |WB BW B |        | B      |        |        | W    W ,(7,1)],0.17979877
[ WW    B|    WB  | BW  BW |W B BW  |B  WB B | B W  W |  BBBW  | W     W,(4,6)],-0.024455003
[  W    B|        |W       | B      |        |        |        | WB W   ,(2,0)],0.061851233
[ W BWW W|WB  W BB|WBB   WB|B  W   B|BW  WBW |WBW B W |  W  W B|BBW B B ,(7,4)],0.96610755
[     B  |     W  |        |        |B      W|       W|  B W   |        ,(4,7)],0.010600936
[BWBWBWWW|WWWBB BW|WWWB BWW|B BBWBWB|WWBWWBBB|BBBWW  B|W WBBWBW|W BBWBBW,(1,2)],0.99689996
[  W   B |  W  W B|    W B |   BWWB | W      |     BWB| B   WB |     W  ,(3,4)],0.8495225
[WBBB B W|BBW WBW |BWWBWW W|WW BB BW|BBB BW B|W   WWBW|BBBWWBWW|BW BWBWW,(5,7)],0.9965949
[WW B  BW| B WB   | BBBWWBB|BWBB WW |B B W B |BWW  BWW|  B B  W| WWW WW ,(0,0)],0.995125
[  BW W  |   W  B |B       |W     B |        |W  W    |   B B  |W   B W ,(5,0)],0.18586001
[WBBW    |BBBWWWBW| W W BB |WWBBWWW |  WWBB  | W BB   | WBB  BB|W     WB,(1,2)],0.99616003
[WBBB    |WWB WWB |WW  WWWB| W W B  |B BW B B|BWB  B  |  W W   | W B BB ,(5,2)],0.99496496
[ B      |BBB  BW | WWW B  |W W  WB |BBWWB B |B B   WB|WWW B  W|   WW B ,(1,2)],0.89247
[  WW B  |WB BB   |  W    B|    BW  |WBWW WWW|W   BB B| B WBB W|BW WB B ,(7,0)],0.86096495
[        |  B     |        |  W     |     B  | W      |     W  |        ,(5,1)],0.06363752
[        | W     W|        |        |        |  B     | B      | W      ,(7,1)],0.15629125
