[WBWWBBWB|BBBWWWBB|BBWBBWBW|WWWBWBB |BBWBWBWW|WWBW WBW|WWBWBWWB|WBBBW WB,(7,6)],0.0
[WWBWWBWB|WB BBW W|BB   BWW|W BWWWBB|WWW BB W|   BW  B|BBW BWW |BBB WBW ,(1,5)],0.9963001
[WBB B   |WW   B W| BWW    | B      |   W   W|W       |        |B   B B ,(7,4)],0.63626003
[        |        |W       |        |        |        |        |        ,(2,0)],0.034145005
[        |W       | B      |  BBW   |        |        | W      |        ,(3,2)],0.049178753
[ B W    | W      |     B W|W WB  WW|W     B |    W BB|B       |   B    ,(3,6)],-0.0075699994
[B   WW B| WWBWBW |WBWBB B |WBWB WBW|B  WWBW |W BW WBB|WB WBWB |B WB  WB,(4,6)],0.99614495
[BB B    |    B  W|   WB WW|     BW | W   BB |B   W   |W W WBW |BW      ,(6,4)],0.7188853
[ W BWBB |BBW B BB|BWBBBWBB|BW WWW W|WB BWW W| WW  BWB| WW BB B|WWB BWWW,(6,5)],0.99657506
[BWWW WWB|BBW B B |WBB   W | WW WWB |WBB  B  | B  WWBW|BWBWWBWB|WB BWBB ,(1,0)],0.982165
[        |   BW W | W    W |BB      |  BB    |       W|       W| B BW   ,(3,0)],0.1378875
[  B    W|  W    W|   W  WW| B  B  B|     B  |        |        | B  W   ,(1,2)],0.17893502
[WBBBW WW|    WB W| WB BBWB|B  W   B| WBW BWW| BBW WWB| BWB    | BWWBWBW,(5,5)],0.99631006
[ WWWBB B|B BB W W|WWB  W  |W  B BWW|  BB    | W   WWB| W WBB B|W B     ,(0,2)],0.99340504
[B WWBW B|W BW  WB|BB WW  W| B B B W|WBB     |W  WWB W|BWWBWW B|      BB,(1,6)],0.93771744
[BWBBWBWW|BWB BWWW|WBBWBWBB|W WBB BW|WBWWWBB |BBBWW  W|BBWW BWW|  WBWBBW,(0,7)],0.99678004
[        |B       |      W | W      |W       |B       |        |        ,(4,0)],-0.0044425
[W WB BW |B BB  WB|WWWBW WW|  BWWBBW|  W B W |WBWWBWWB|BBB BBBW|W BBWWBB,(1,0)],0.996535
[WWBWWWBW|BBWBBWBW|WBWW BWW|WWBWBBWB|BWBWWWBB|BWWBBBWB|BBWBWBWW|WWBBBWBB,(1,5)],1.0
[  WB    | WB     |WBW     |    W   | W   B  |B       |        |        ,(4,1)],0.44775128
[  BWBWWW| B WBBW |WWBBB  W| BB WWW |W WB B W|B WBWBW |BWBBW B |B W WBB ,(7,0)],0.9964501
[WBBWBB B|BWB B B |WWW  WBB|W BB BB |BWBWBWW |W   BW  |BWWB WWW|WWBWW BW,(6,7)],0.996515
[B  B    |     W  |B    W  | W    B |      W |   W BWB| B      | W  WB  ,(5,7)],0.28739244
[     WBW|  W     |  W  WB |BWW     |BBB     |   WB WW|BW B  B |B   W B ,(3,0)],0.6205355
[  BBWWBW| B     B|W   BW B|WBWWB   |W WW WWW|BW   B  |  BWB BB|WB BBW W,(4,2)],0.91823256
[ WW W  W|BBWW WWB|WWBB BB |BWB BW B|BWW   B |W  BW B |W   WBWB|WBW   BB,(6,0)],0.9960101
[        |   B    |    WB  |    WW  |W    W  |B       |  B     | B  W B ,(7,6)],0.43486506
[     B  |   WW   |   B    |B       |  B W   |  B     |        | WW     ,(0,5)],0.1811925
[BBWBBBWB|WWBBWBWB|WW BB WB|BBB  WBW| W W  WB|W W BWB |W WWBBBW|W WB WBW,(0,4)],0.99652004
[BBBWWW W|WBBW  WB|W   W B |BB B  B | BWBWB W|B   B BB| WWWBBWW| WWW  WB,(1,1)],0.996315
[BWBWW  W|  B  W W|W    BW |  WB  B |  BBBW  |W W W  W|  W B B | BB    B,(5,0)],0.7531675
[  W   W |BWWB  W |WB W B  |WB W   W|BW W WB | BWBWBBB|BW  B W |  B BBW ,(3,0)],0.9959549
[     B  | W   B  |  B    B|BW W    | W      |W  B   W|W  B BWB|W   W   ,(3,3)],-0.012077189
[WB  B  B|  WW W  |      BB|        |       W|B  W    |   W    |        ,(5,3)],-0.008641252
[BBBWWWBW|WWB BBWB|BBBWWBWW|WBWBBWWW|BBWWWBBW|BWBBBWWB|WBBWBW W|WWWBBBWB,(5,2)],0.0
[ B   W W|   B W W|WWB W   |  B   BB|BW WB WW| BBW WWB|B BB    |B      W,(2,2)],0.6924754
[WB     B|B  WWBWB| W  W   | BWB WW | BB  B W|W WWBBWB| WBBBWWW|BB  B  W,(1,7)],0.977565
[BWWWBWWW|WBWBBWWB|BWBB WBW| WBW  BW|W BBWBW |B WWWBBB|WBBBWWW |BBWBBWBB,(2,6)],0.99660504
[WBBWBWB |WBWBWWWB|WBWWBBBW|BWBBBWBB|WBBWWBWW|WWWBBBWB|WWBWBWBB|BWWWBWBW,(3,5)],0.0
[   W    |W  W    |        |      BB|W       |        |        | B  B   ,(7,4)],0.14412378
[B W   BB|   B BWW|W  B W  | B   B W|  W  W  |W W W   | W BBB  |  B  BW ,(7,2)],0.02345531
[WWB WBBB| BWBBB B|W WW    |WBBWBB B|  B  BWB|WWW W BW|WBW WBB |W W WWB ,(6,1)],0.9965
[ BBW B  |   BWW  |W BB W B| B      |  W   WW|  WW    |B     W |     B  ,(4,6)],0.8511237
[  W W  W| W  B W | BB     |B    B  |        |B B  W  |        |  W     ,(3,5)],0.08174814
[W WWWBBW|WBWWBW B|B   B  B|W   BWW | B  WWWB|BBBWWBBW|BWBBBWWB|B  W  W ,(4,4)],0.9962899
[        |     W  |  BW    |BW BB   |W       |  W W   |  B     |        ,(4,0)],0.20492563
[W  BWW W|W BBBWBW|BBW BBWW|WB W WWB|   WBBWB|BBWWWBBW|W WBB BB|B WWWBBW,(3,3)],0.99655503
[ W BB  W|BW   BB | B WW W |  BW    |W  WWW W|B  BWWBB|    B BB| WBW    ,(7,1)],0.68053997
[W W  WW |BWB BBB | B  BBWB| B   W W|W WWBWWB|B B WB W|WBWBBWWW|BWWBWB B,(6,2)],0.9960799
[W   B  B| W  B  B|W  B WW |B  WBB  |  BWBBWW|  W     |W  W W W|BB W  BB,(4,5)],0.8985537
[WBWWBWWB|BW    WB|B B     |   WWBWB|BB B  W | WBWB WW|W  W  BB|W   BBW ,(5,6)],0.980585
[ WWBBWWB|  WB BBB| WW BBWW| BB  BB |  BW WWW|W   WBWB|WW B BBW|WWB W BB,(6,6)],0.99641496
[WWBBW BW|     BBB| WW WWWB|    WB W| BB BWBW|  W BWW |B WBBBW |BWB WW B,(7,1)],0.996315
[WBWBWBWW|BB BBB W| BWWWBWW| W  BW  |BBBW WBB|B  BW BB|W WBW BW|WW  WB  ,(4,7)],0.9964
[ WWB   B|  BBB WB|WBBW B B| BW B W | W B  W |   W B  | W   WB |WW  WW  ,(3,2)],0.9910599
[ B B    |   B BWB| WB BW  |BW WWW W|WB   B W|BB B  BW|BWWB    |WWWB W  ,(1,7)],0.99412
[BB WWWB |WB BW WW|BWBBWBWB|BWWW BBB|BBB W W |W WWB  B|BWBW WBW|WBBWBW W,(7,7)],0.996565
[ BWB B  |BBWBBBW |  BW W  |B BW  W |BWB  W  |   W  B |WWBW W W|BWWBWWB ,(6,0)],0.9962951
[      BW|   WW W |B       |      B |        |   W   B|W    B  |  W    B,(5,3)],-0.008372501
[    B W | B  B   |   W    |      W |        |   B   W|   W    |        ,(2,3)],0.08721875
[WBWBBWWB|BWBBBWBB|BWBWWWBB|WWWBWBWW|BBW WWBB|WBBWBBBW|BWWWBWWB|WBWWWBWB,(4,4)],0.0
[    B   |      W |        |    W WB|   B  B |        |    WB  |  W   W ,(3,4)],0.109969035
[BWWBWWBB| BBBWWWB|BWBBBW W|BBWWW   |WWW BBWB|BBBWBWWB|BB B WB | WWWBWWW,(5,0)],0.99675
[ W  BB  |    BWB |WB  BW W|B W    B|        |B      W|        |WW      ,(0,5)],-0.009441251
[ BW    W|   BB  W|B B  B  |W W  WW |        |        |        | B B W  ,(7,3)],0.14849
[      B |  W   B |B  BW   |B   WW  |        | W     W|   B   B|     W  ,(6,7)],0.607115
[B  B B  |     W W|    W   |     W  |        |        | B   B  |   W    ,(0,5)],0.28586748
[ WBW BBB|WBB   W |WBBWB BW|WW B W B|BWW WWW | BWBWBWW|WBB B  B|W BW W B,(4,6)],0.99648
[BWWBBWWB|  BWBWWW|BWBW WBB|BBBWWBWB|BWWBW W |WBWBBB W|WBW BW B| BBWWBWW,(0,6)],0.9963498
[ W      |        |  B B   |  B     | WB     | W      |        |W       ,(2,4)],-0.013923125
[     B  |B   B W |        |    WW  |    W   |       B|      B | W    WB,(1,4)],0.40094876
[ B W    | WW BB  | B   B  | B   BBB| WW     |BBW  W  |  WB W W|WWB  W  ,(5,1)],0.86380565
[WWBWBBWB|BWBBWBWB|WW BWBBB|BBBWWWBW|WWWB BWB|WBWWWBBB|BBWBWWBW|BWBWWBWW,(4,3)],0.99835503
[  WB    |      W |    W   |   B    |     B  |        |      W |        ,(2,4)],0.13065998
[ WBWBBBW|WB W WWW|  B BB B|WBBB  B |B   W  B|W  W WW |  W WB  |WBBWWBWB,(0,2)],0.9964501
[BWWBWWBB|WWBBWWWB|BWWW BBB|B BBBWW |BWBBWWWB|WWW BBB |WBBWWWBW|WBB BWBW,(3,0)],0.99698496
[B B   BW|BWBWBBWW|WBWW WBW|W BB W B|BWWW BBB|BBWB  WB|B BBWWBW|WW WWWBW,(6,4)],0.99649507
[ BWW   B|WB   B W|   BB   |        | WBW B W|B W B B | W  BW W| WW     ,(6,7)],0.9484576
[BBW WBW |B WBW  W|WW B BWB|BW WB  W|WW WB WB|BB BB WB|BWWBWWBB| WW WBB ,(2,0)],0.99648505
[   W W W| W W  B |       W| WWBBB  |  B   B |W   W BB| B W    | BB WWB ,(0,5)],0.7146775
[WB  WBB | W WBB  | B     W| WB WW  |W   W  B|  WW    |   B B B|BBWB W  ,(1,4)],0.8267152
[BWBW BBW|W B B WW|BBBWWB W|WB B W  | BWWBBB |WW BB   |W W    W|W W WBB ,(6,2)],0.9950949
[   W B  | BB   B |B  WW   | W  B   |        |        |WWBWBB W|  WB  W ,(1,1)],0.21595998
[ WBBBWWW|WWB WWBB|BBB BBWW|WBWBWWWB|W  B BBB|BWW WBWB|BWWBWW W|WBWBBBWB,(2,0)],0.99682504
[BBB W   |BBB W W |W   WBWB|W WB B W|  W  BWW|WWBB   B| BWWBW B|WWBBBW W,(1,4)],0.9956651
[WWWBBWWB|BBBWBWBB|BWB WWBW|WBWBWBBB|BWWW WWW|WWBWBBWW|WBWBBWBB|WBWBBWBB,(0,7)],0.99827003
[BBBWW BW|BBWWBWB |WB BBWWB|WWBB BWB|W B WWWB|BWWWBWBW|WWBBW   |WWBBBWBW,(5,3)],0.9968401
[ WBBWWBB|WWWBWBWB|WBBWBWWW|BWBWBWBW|WBWBWBBW|BWWBWBWB|BBBWBWBW|BWBWBWWB,(1,6)],0.0
[BB  WWBW|WW WW B |WWB  WBB|BBW W  W|   BB BW|    W   |BBBW B W|BB WBW W,(2,5)],0.99623996
[WBBBW WW|BBWW   B|BWBWBWWW|WBWB BWW|WBWWWB W|WWWBBWWB|B BB BWB|BBWBW BB,(2,5)],0.996755
[WBBBW B |BW  B WW|WWBBWBW |B  WWW B| WWW B W|BB  B  W|WW  W B |BW B B B,(1,6)],0.80001706
[BB WBWB |BWBBWWWB|WBW W  B|WB B  W |W W WWWB|BBBWBWWW|WBW WBBW|B  B   B,(5,3)],0.996465
[BB BB WB|W BWBBBW|B BW BW |B WB WWW|W  B W  |WW W BW |WBBBWB  | WWWBWBW,(5,1)],0.99645007
[WBWBWWWB|BWWBBBW |B  W WBB| B WW  W|  W B  W|WWBBBWBB|BBWB BB |WW WWW B,(4,7)],0.9964299
[BW WW  W| BWBWBWB|WB BB W |WB B WBB|B W W WB|WB   B B|WW B W  |WWWBB WB,(1,2)],0.9937949
[W BBW W |WWB     |   B B B| WWB WWB| BWB W  | BB  WB |WBW  BW |   W B  ,(0,3)],-0.031205008
[BWWW BWW|WBWBWBBB| BBWBBWW|BWWWBWWW|WBWWW BB|BB BBWBW|BBWWBB  |BWBBWWWB,(6,1)],0.99658
[WBW   BB| W WW   | B      |     B W|  W  BB |        |   W   W|  B  BW ,(6,7)],0.14560628
[   B WBB| WWB W  |WB    W |   W W W| BWW B B|WB   B  |   B    |W  B  WB,(3,3)],0.6720995
[  BBW BW|W BB BWW|BBW WW W|   B   B|  W W   |WB  WB  |B   W  W|BB   W  ,(6,7)],0.99605
[  BW B  | WBW   B|        |W  B W  |    B W |WB   B  |W WB  WW|  B    B,(0,2)],0.7434
[WBB B WB|BWBBWWBW|WBWW  WB|W W  BWW|W BW BBB| W   BW |BBBWBWWB|WWBWBWBB,(1,3)],0.9966
[ W   B  |BB B  B | BWBW  B|B  BW B | WB  W W|BW WW  B|  WW W B| B WWW W,(3,4)],0.99633515
[ W  W B |  B     |   W   B|BB BWBW |B W  WW | W      |W       |BBBW    ,(3,5)],0.62768006
[ WW B   |  WWW  B|BWB  BB |B B B   | BWWW WB|WW BB   | B  WB  |   W W  ,(2,2)],0.72473
[  BWW BB|BBWW   W|WB WB W | BB W BB|BWB W WB|WW W B W|B BWBWWB|WBW BBW ,(4,7)],0.99564487
[W     BW| B     B|  WW B  |W W B   | W WW B | W      |BBB W BW| W   B B,(6,7)],0.62541187
[ W  W W |BBB BW  |BWBBW  B|WWWBWWBW|WW    B |W   B   |  WBW BB|   WBBWB,(2,1)],0.995005
[BWBW WB |BBWWBBWB|WWW B W | BB WW B|WBWBWW W| BB BWW |  WWB B | BBB WBW,(0,6)],0.99655503
[        |   B    |W       |        |     B  |   W    |        |    W   ,(7,4)],0.05619625
[  W  W  |  W  B  |  B B   |        |W W   B |    W B |        |B       ,(2,4)],0.021469377
[BBBWWWBB|WWWBBWWB|BBWBBBWW|BW BB BB|BWW WBWW|W B WBWW| WBBWBBW|BW WBWW ,(0,2)],0.99679995
[W B W B |BB BB  W|WBWWBWW |BWWW  WB|WWBWBW  | WB B BW| B BWB  |WW B   B,(4,0)],0.99516505
[WBWBBB W|BWBWBWBB|WBWB WWB|WWWBWBB |BBWWBBWW|BW  W W |BWWBWBWB|WWWBBWBB,(7,0)],0.99680984
[B BBWB B|W BBBW W|WWBWB WB|BBW BWB | WW  W W|BB WWBWB|WWBWB WB|  B WWBW,(7,6)],0.99657506
[BWWBBBWW|BBBWBBWB|BW BWWWB|W WWBBBW|WWBWW BW|BWBWBWWB|WB BWW W|WBWBBBWB,(2,6)],0.996925
[  BW W B|BWBB BB | W B  W |  WWWB  | W   WB |W W  W  |     BB |BW B WWB,(5,0)],0.982885
[        |W B W   |  W  B  |    B   |       W|        |        |   B   W,(1,0)],0.22185066
[W   W W |WB BW W |    W W |BBB     |   B W  |     W  |B BW   B|    B   ,(0,0)],0.63510895
[      W |        |  W     |     B  |  W B   |        |        |W      B,(7,0)],0.15055503
[BWBBWWBB|BWWBBWWW|WWB WWBB|BBWBBBWB|WW WWWBB|WBBWBWBW|WWBBWWBB|BWBWBBWW,(7,4)],0.99830997
[BBWWBB W|WWBB WWB|B BWW BW|BWBBB  B|WB W  B |BBWBWW W|WWWB BWW| BW BW W,(0,3)],0.99645007
[WW  BBWB|WWBWB BW|WBB WWBW| WB W WB|BBWWBW  |BW B WWB|WBBW  WB|BWWBBWBB,(1,1)],0.9966399
[WWB BBWB|WBBWBWWW|WWBBWWBW|BBWBBBWW|BWWB WBB|BWWWBWBW|WBB WWBW|BBBWBBWW,(1,5)],0.9977549
[        |  B     |      B |  W     |     W  |        |        |  B W  W,(4,5)],-0.0024299999
[ WB  B  | BW  W W|B BWW   |     B B|W    B  |   WWW  | B B  W |  B B W ,(0,2)],0.67359364
[WW WB WB|WWBBBWB |BB W  WW|WBB WB W|W BWBWB |BBWW B W|WB BB  W|BBBWB WW,(3,5)],0.99652994
[       W|   W    |B  W   W|        |W  B    |   B  B |        |        ,(1,3)],0.18138246
[BWW W  W|B BBWB  |  BB W  |  B   BW|BBWWW  W|  B  B W| B W   B|  W W   ,(6,1)],0.9952801
[BWWW BBB|BBWBBB B|WW B WBW|B  WW WW|BW   W B|WW WBW B|BWW WBW |WBBWBB B,(5,7)],0.996545
[ W   BB |WWWBBW W|WWBW  WB|   WBW  |WBB B   |B  BB B |BWB W  W|WW W BBB,(4,2)],0.99613094
[WBBB W W|BBW BWWB|WWWBB WB|BWWBWWBB|B    BW | WWB  WW|BBWBBB B|WBW BWWW,(2,4)],0.996555
[B  WWBBB|    WW B| BW W  W| BBW WWB|WWB    B|W   BWB | B  W   |  B  W  ,(1,4)],0.67827237
[B  B B  |WWW    B| BWB B  |BB  WWBW| W  WBWW|WW  BB W|     W  |  BB BWW,(1,1)],0.9959299
[ B W WB |B     BB| W  B   | B W BWW|W B B W | WB    B|WW W W  |B  WW  B,(2,1)],0.8160275
[WBB W   |      B |W   W   |BBW WW B| B  W B |B W    B|B W BB W|     W W,(3,7)],0.94856995
[BWBWW BW| BBWB WW|BWWBWWBW|  WWB   |WBB B WW|BBWWWBWB|WWWBWWBB|BBBWBBB ,(0,1)],0.99654996
[WBB WBWB|BWWBWWWB|BWBW   B| BWWBB W|W  W WBB| BBB WWB|WWBBW  W|WBBW   B,(5,2)],0.99652994
[ W BB B |BWWB BW |   BB WB|     WWB| BW W   |B  BB   | WWW    |W W    W,(1,6)],0.99578494
[ B     W|   BW W | BW W  W| W   WBB|BW B WWW|B   BWBB|WBB  BWW|BWBW BWB,(2,7)],0.99591
[  B     |    W   |W     B |        |        |        |        |        ,(0,2)],0.090096876
[B WBWBBB|WBB BWBB|B WWBWBW|W W WBWW|B BWWW W|BWBWBWBB|W W WBB |WBWBBWBW,(1,7)],0.99661005
[B W WB B|W W BWW |BWBW  WW|W  W WB |WWBWBB B|W   WWBB|BW B BWB|B BBWBBW,(7,7)],0.9961451
[ B   BWW|WW   BBB| W   W  |WBWB WWW|W   W BB| W B   B| B BWBBB|WWWB B W,(3,0)],0.94337445
[B  W    |B B  W B|  W   B |W  B   B|  WBWW  |    W W |  WBW   |BB  B W ,(7,4)],0.63445246
[WB BBB B|WB W  W |BBWWW BW|    BB W|WW BWWB |  BWWB W|W B B BB|BW W BWW,(2,6)],0.9963651
[ B   BBB|     W  |WWWB  BW| B   W W| BB  B B|        |     W W|   B WWW,(4,2)],0.6677679
[ BB W  W|BW BWBWW|B   W  W|B W   W |  BW    |  B   W | B  BB B|  W     ,(0,2)],0.90461504
[      WB|B B WBBW|B  WW BW|  W W W |W WB   W|B   W  B|   WBB  |WWBB   B,(1,4)],-0.035347495
[BWWB B  |W WBWWW |BB WWB W|W  W BWB|BWBBB B |BBBWWW B|W     BW|W BBBW W,(7,3)],0.996045
[  BBBWWW| BW WB B| BW    W|BB B  W | W  BWB |     W  |  BWW   |BW      ,(3,1)],0.7644088
[   W  B |        |        |        |        |        |        |        ,(0,6)],0.10342939
[  WWBBB |WW BBWB | BW W W |WWW   WB|W B BBBW|BB B   B| WBWWWBB|W BWBBWW,(0,6)],0.9961999
[        | BB    W|        |  W   W |B W     |       B| WB     |W    B  ,(1,1)],0.14231001
[B  W WB | WB    B|WWB   B |    B   | W      | WWW    |    BBB |W  W  B ,(2,6)],0.97806996
[W  WBBBW|WBBWWWBB|BWWWBBBW|BB  W  W| WWBWBWB|W WWBW W|BBBWBBB |BWWW B  ,(2,3)],0.9964299
[ WB BBW |WW W  W |BBB   B | W BWBWW|B WWBBWB|W B   W |  WWB B |BWW BWBB,(6,6)],0.99628
[W  W    |W W    W| W  B  W|  W   B |W BBB   |BB      | W WB   |BBB W   ,(1,7)],0.8771151
[  B W  W|B    WB | W  WWBW|BWB WW B|B  W BBW| W W B B| BB WWBB|WBWB    ,(4,6)],0.9850149
[W W  WWB|     WW |BWW  B  |BBW    B| B B B W|   B  W |BWB  B  |W W WB  ,(6,1)],0.8322037
[WBBWWBWW|WBWB WB |BB BWWBB| WWBBW W|WB  WBBW|WWBBBWWB|BWWWBWWB|BWBB WBB,(5,2)],0.9966351
[W  B WWW|WWBBBWWW|BWBW WBB|BB BBBWB|WBBBWWBB|BWWWBBWW|BWBBWBWB|WWWBB WW,(1,3)],0.99675006
[B B BBW |BWW BWWB| W   B B|WBBB B W|WWB BWW |  W  WBB|W     WB|W BBWW W,(3,2)],0.99521
[WWWB  W | B W BB |W       |W B BBWW|BB      |WB B W  |  B BW  |  W  WBW,(0,1)],0.963745
[ WBWWBW |WWWBWBBW|WBW W B |B WBBB B|BWBW WBW|B    B B|WW BWWWB|W  B B  ,(1,1)],0.9957801
[BWBBWWBW|BWWBBBWB| BBWBWBW|WBWWBWWW|W WW BBW|BWWBBWWB|BWB W WB|BBWWBBWB,(5,1)],0.99691
[WWWBBB B|WBBWWBWB|BWBW WWW|WWBWB WB|BWWBB BB|BBWBWW B|W BBWWBW|WWBWBBWB,(5,0)],0.99696004
[   W    |W      W|   BW   |  B     |     B  |BB      |        |W       ,(2,3)],-0.01237
[BW B    |  B W  W|   B WB | WW  B  | WB W   |BBWBB   |B  B W  | WW  W  ,(2,6)],0.27322188
[WBBBWWWB|BWWW WBW|WWBBBWBW|BBWBWBBB|WBWBWBWW|WBWWWBBB|BWBB WWW|BWWBBWBB,(3,3)],0.99823
[W WBBWWB|WWBBWWWB|B  WBBBW|BW WBWBB|WBBWBB B|WWW WWWB|BBBWWBB |WWWBBWBW,(5,5)],0.99682504
[BWBWBBWW|BW WWBBB|WWBWBWWW| BBBWWBB|WBWW BWW|W BWBWBW|BW  BWWW|BBB BBWB,(0,6)],0.99690497
[ B      |   B    |  W  B  |B W  B  |   W    |   W    |        | W  WBW ,(7,6)],0.12476003
[WWWBWW W|BB    BB| B    BW|W BBBWWW|B    W  |BWW B  B|  BB WWW|W    B B,(3,3)],0.9828951
[ W   B W|  W  B  |  W     |B B   W |  B W   |    B   |  W     |BW      ,(2,2)],0.13557465
[        |        |       W|        |        |        |       W| B      ,(2,7)],0.039010003
[WW WW WB|B WWBWW | BBWWBBB|WW  BWWB|B W  BBB|WBB  WW |WB W  BB|WBBW BBW,(4,2)],0.99613
[W   W   |   BBBW |    W B |    WW  |        |     B  |   BW W |       B,(2,4)],0.57461464
[W W  W B|W W  W B| BWBW WB| WB WB  | B   WB |W BWWW  |BB WWWBB|B BW BBB,(1,2)],0.996415
[B B BBWB|  W  BBW|WW B  WW|WWB    W|WBW   B |    BW  |W B BBWB|B W  W  ,(1,6)],0.99569
[BWB BW W|WBWWWBWW|WBWBBBWB|WWBWWBBW|BWBB WWB| BWBWBBB|WBBBWBWB|WWBWWWB ,(1,0)],0.9971199
[    BW W|   W    |   W  W |      WB|  B     |  WB  B |   B B  |W   B   ,(3,7)],0.07404065
[BBBWBWWW|WW WBBWB|WWBWWBWW|BB B BBW|WBBW WWW| BBBWWBB|WWB  WB |BW BBB W,(3,1)],0.996765
[  W  BBW|  B BW  |  W WWWB|BB  W WW|BB  BB W|WW B  B |B   W   | WB W BW,(5,1)],-0.024575938
[ B  B   |    WB  |   WBB  |   WW  W|W       |   W    |   BB   |        ,(0,1)],0.42124248
[WWBBWWBB|B WWBWBW|BWWBWWWB|WBBWBBWB|WWBWBWBB|BBWWWBWW|BWBBWWWB|BWWBBWBB,(2,6)],0.0
[  W   W | B      |W       | W   W  | B BB   | BW B   |  WB    |  W     ,(0,6)],0.47831374
[B      W|BW B   W|WW BWBBB| WB  WB |B W B WW| B BWBW | WW    W|B WB    ,(2,1)],-0.028585002
[W B     |        | BB  WB |B      W|        |        |      W |  W   W ,(0,0)],0.21616499
[WWW WWBW|  BBWW  |BWWB BW |BBW WBBB|WB BWBWB|BWWWB BW|W B BWBB|WB BBWWW,(6,0)],0.99593496
[W B  WB |      BB|W   BBWW| W      |        | WB   BW| W  W   |BW  B  B,(1,7)],0.55881506
[B W     |B       |   W    |      B |  B B   |  W W   |W     BB|  W W   ,(4,2)],0.18348876
[  B  W W|BBBWBW W|B B WWBB|WW BBB W| BB   BB|BWWWBWB | W WWWBW|W WWWB B,(7,3)],0.99485004
[WW WW BW|W   BB  |WBB B  B| BB    B|W  BWB W|W  BWBW |WWB  BBW| WWB  BW,(3,7)],0.9962899
[        | B      |        |   W    |B       |        |        |  W     ,(4,0)],0.14690939
[   BW   |    BB B| WBWB BB| WW  WWW|W  W    |B  W W  | BB   B |   B W  ,(1,7)],0.96556246
[  WW WW |BW  B  W| BBW WW |  BWW   |B   W BB|B  BW WB|B  B    |   BW WB,(1,7)],0.9961399
[BW   BB | B W   B| BB   BB|WB W   W|   B    |WBW    W|  W  WWB| W     W,(1,1)],0.19235629
[W B    B|        |W BB    |  W     |      W |W       |      B |  W     ,(4,6)],0.14794996
[BBWBWBBW|BB WWBBW|WWBWBBWB|WWBWWWBB|BBWBB BW|WWBBWWWB|BWBWWWBW|WWBWBB W,(0,7)],0.99719
[    W   | BBW WW |WWBB BBW|WBW  W W|WB B    |    BWB |W BWBW W|WBWBBB B,(6,7)],0.99619496
[ B  W BB|BWWBB W |W W WWWB|WBBBW W | BB  BB |BBWWWB  |W BW WWB|W  WW BB,(2,0)],0.99627507
[  BWW B |  BW  BW|B   BW  |    BW  |  BBWB B| WWW WB |  BBWW W|WBWW B  ,(4,4)],0.68677014
[BB WW B |BBB BWWW|B  BB WW|WWB  WW | WBB W  |WW B BB |B WBB W |WWBW   W,(3,5)],0.9965099
[WW  BWBB|BB  WB W|WWWBBWBB|WB WWW W|WB BBW W|B W  BWW|WB BB B |BWWBBBW ,(2,7)],0.9964651
[BWWBWBBW|WBBWBBWW|BWBWBWWB|BBWWBBW |WWWBWWBW|BBWWWBBW|WBBBWWWB|BBWBBBWW,(1,7)],0.0
[WBWBWWWB|WWBWBBWB|BWWWB BB|BBB WWBW|BBWBB BB|WWBWBWWW|BWW  WWW|WBBWBWBB,(0,6)],0.997145
[ B WBWBB|BWB BB B|WBWW BWB| WW WW W|W BW BWB|BBWWW WB|B BWWB B|WBWBBWWW,(7,0)],0.996565
[BWW BWB |  B B  W| B  BWWB| W W  BB|W WBWW  | W WB BW|BB WBWW |W    B B,(0,2)],0.9671935
[        |        |       W|        |        |        |     B  |        ,(6,5)],0.046760008
[W   WW B|W  B  B | B  B   |   B    |      WB|B    WWB|  BW    |  WWWB W,(7,2)],0.12723748
[WWBWWBWB|BWWWBB W|WBBBWWBB|BBWWWBWW|WWBBBWWB|BWBWWBBW|BBWBWBWB|WWWBWBBB,(1,2)],0.0
[BWW BWWB|WBBWBBBW|WBWBWW B|WBWB BBW|BWWWB BW| W B WWW|B WBB WB|BWBBWWWB,(4,1)],0.9967799
[WWBWBWBW|W W WWBB|BB B W W|W BB   W|B BWWBBB|W    WBB| BW WB W| WBBWBWB,(7,3)],0.9957099
[     BB |WB B WWB| BW WB  | BWWB B |      B | B W  W | WWW   B|    W   ,(1,3)],0.9542469
[BWBBWBWW|  BWBWB |BWBB WWW|BW  BW  |B B W BW|WWW BWBW|WB B WW |   BB WB,(0,1)],0.9964901
[W    B  |        |     W  |W  B W W|B  W BB |W    WBW|  B  B  |  W  BB ,(4,5)],0.14957248
[WWB   W |        |B B WW  |  B BBWB|B    WW |W B     |   W   B|   W BW ,(0,1)],0.87470496
[BWWBWBWB|BWBBWBWB|BBWW BWW|WBBWWWBW|WBWW BWB|WWWBBWBW|BBBWBW B|BWBWWBBW,(0,6)],-0.33192998
[B   W B |       W|WWWB W  |W    B  |  W   B |B   WBW | B  B  B|WWBW   B,(3,0)],0.4967026
[WB BBB W|BBWWW BB| W W BB |WWBB  WW|BB W WW |WB WWBBB|WWBBBWWB| WW B  W,(1,4)],0.9964801
[        |        |    W   |        |        |        |        |        ,(2,4)],-0.0018131249
[B   WW B|B BWWWBB|W  B B  |     WB |    W  W| B BBWB |W B WB B| W  W WW,(1,6)],0.90077245
